trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
471,False,"{'a': 0.5, 'e': 0.09489350653462311}",20,5,21.920253076568642,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.5, 'e': 0.09442022319630235}",25,17,13.306587122962473,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.5, 'e': 0.09394930036847918}",25,18,12.411554383495808,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.5, 'e': 0.09348072627805847}",35,19,22.14126027764034,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
475,False,"{'a': 0.5, 'e': 0.09301448921066349}",20,0,8.804456282990127,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
476,False,"{'a': 0.5, 'e': 0.09255057751034329}",25,16,14.848474050751717,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.5, 'e': 0.09208897957928115}",20,16,9.855832276601292,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.5, 'e': 0.09162968387750484}",20,13,14.110802137844908,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.5, 'e': 0.09117267892259785}",25,13,25.53371876116222,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.5, 'e': 0.09071795328941251}",25,8,4.695581146017238,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
481,False,"{'a': 0.5, 'e': 0.09026549560978427}",20,8,-1.6417213580924899,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
482,False,"{'a': 0.5, 'e': 0.08981529457224763}",20,5,23.21759545377669,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.5, 'e': 0.08936733892175319}",25,11,4.878571490078775,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
484,False,"{'a': 0.5, 'e': 0.08892161745938634}",25,9,28.96925535541399,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.5, 'e': 0.08847811904208727}",20,3,25.754600690206924,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.5, 'e': 0.08803683258237255}",25,17,6.140629119782887,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
487,False,"{'a': 0.5, 'e': 0.08759774704805763}",25,14,5.323058780800162,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
488,False,"{'a': 0.5, 'e': 0.0871608514619813}",25,18,12.410891455955694,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.5, 'e': 0.08672613490173114}",20,11,17.822173371747255,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.5, 'e': 0.0862935864993705}",20,1,26.868537980963545,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.5, 'e': 0.08586319544116683}",30,11,9.205587793287492,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
492,False,"{'a': 0.5, 'e': 0.08543495096732123}",20,9,21.396592055950734,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
493,False,"{'a': 0.5, 'e': 0.08500884237169956}",25,19,11.646536544411642,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.5, 'e': 0.08458485900156469}",20,0,32.552071944099204,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
495,False,"{'a': 0.5, 'e': 0.08416299025731036}",35,26,18.581175163330293,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,False,"{'a': 0.5, 'e': 0.08374322559219596}",25,0,34.70583438165484,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
497,False,"{'a': 0.5, 'e': 0.083325554512083}",25,3,24.888504906163327,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
498,False,"{'a': 0.5, 'e': 0.08290996657517266}",25,7,33.06365291392315,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
499,False,"{'a': 0.5, 'e': 0.08249645139174498}",20,12,15.407128799550339,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,2,21.912857878960985,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
501,False,"{'a': 0.5, 'e': 0.08167559798529346}",30,20,19.543643728561676,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.5, 'e': 0.08126823924089167}",25,13,10.19112576025148,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
503,False,"{'a': 0.5, 'e': 0.08086291220670366}",20,16,8.492800102967323,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.5, 'e': 0.08045960674953244}",20,8,22.836716068721348,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.5, 'e': 0.08005831278672054}",20,12,17.350301335251874,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.5, 'e': 0.07965902028589801}",20,15,10.231965427698345,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.5, 'e': 0.07926171926473155}",30,16,1.714132658299259,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
